comm,upc,item_desc,search_term,notes
619,0000000004093,ONIONS YLLW COLOSSAL RPC,yellow onion,
603,0000000004022,KRO GRAPES WHITE SDLS BAG,green grapes,
619,0000000004082,ONIONS RED JUMBO,red onion,
608,0000000004080,ASPARAGUS STANDARD,asparagus,
617,0000000004087,TOMATOES ROMA,roma tomato,
618,0001111091760,POTATOES RUSSET,russet potato,
603,0000000004023,KRO GRAPES RED SDLS BAG,red grapes,
608,0000000004068,ONIONS GREEN BUNCH RPC,green onions,
598,0000000004062,CUCUMBERS,cucumber,
608,0000000004070,CELERY NAKED RPC,celery,
604,0003338320027,STRAWBERRIES,strawberries,
608,0000000003082,BROCCOLI CROWNS,broccoli crowns,
617,0001111091686,TOMATOES GRAPE SWEET,grape tomatoes,
617,0000000004799,TOMATOES HYDROPONIC,beefsteak tomato,user-mapped: hydroponic listing = beefsteak/slicer
610,0001111091620,KRO CUTPEELED BBY CARROT,baby carrots peeled,
604,0003338322101,BLUEBERRIES RPC,blueberries,
619,0000000004166,ONIONS VIDALIA,vidalia onion,
618,0000000004072,POTATOES RUSSET RPC,russet potato,
614,0000000004889,CILANTRO BUNCH RPC,cilantro,
609,0000000004046,AVOCADOS HASS TP RPC,hass avocado,
617,0000000004664,TOMATOES BUNCHED,tomato on the vine,user-mapped: bunched listing = on the vine
